ID;TIPO;LETRA;NOMBRE;CODIGO
33;3;C;Caballo;https://i.ibb.co/R7J1xdh/Caballo.jpg
34;3;C;Cabra;https://i.ibb.co/tqyycKM/Cabra.jpg
35;3;C;Calamar;https://i.ibb.co/WWcD7ZC/Calamar.jpg
36;3;C;Camaleón;https://i.ibb.co/xfh0BG8/Camaleon.jpg
37;1;D;Damasco;#FAB57F
38;1;D;Durazno;#FFE5B4
39;1;D;Dorado;#D4AF37
40;1;D;Desierto;#CBAE74
41;2;D;Durazno;https://i.ibb.co/TYFTy9X/Durazno.jpg
42;2;D;Damasco;https://i.ibb.co/BPtnwpM/Damasco.jpg
43;2;D;Damson;https://i.ibb.co/PYRpvXD/Damson.jpg
44;2;D;Durian;https://i.ibb.co/1rnm8NJ/Durian.webp
45;3;D;Delfín;https://i.ibb.co/2gWChrv/Delfin.jpg
46;3;D;Danta;https://i.ibb.co/SKz0dh7/Danta.jpg
47;3;D;Diucon;https://i.ibb.co/R7W0jc3/Diucon.jpg
48;3;D;Ducula;https://i.ibb.co/D45MwTC/Ducula.jpg
49;1;E;Escarlata;#FD2D1C
50;1;E;Espinaca;#4A5D23
51;1;E;Esmeralda;#009975
52;1;E;Ébano;#37312B
53;2;E;Endrinas;https://i.ibb.co/fxbMDXN/Endrinas.jpg
54;2;E;Elote;https://i.ibb.co/vB4BxcG/Elote.jpg
55;2;E;Escaramujo;https://i.ibb.co/SnsPP3N/Escaramujo.jpg
56;2;E;Embaúba ;https://i.ibb.co/6g2CpTq/Embauba.jpg
57;3;E;Elefante;https://i.ibb.co/zPDZs11/Elefante.jpg
58;3;E;Erizo;https://i.ibb.co/SnsPP3N/Escaramujo.jpg
59;3;E;Escarabajo;https://i.ibb.co/s6f8dqR/Escarabajo.jpg
60;3;E;Escorpión;https://i.ibb.co/DDhDMcG/Escorpion.webp
61;1;F;Flamenco;#FFC7C9
62;1;F;Flan;#D6D5C0
63;1;F;Fandango;#D6D5D0
64;1;F;Frambuesa;#E51B4F
65;2;F;Fresa;https://i.ibb.co/ZGP8HfR/Fresa.jpg
66;2;F;Frambuesa;https://i.ibb.co/1fNTQ1Q/Frambuesa.jpg
67;2;F;Feijoa;https://i.ibb.co/bd3PNR5/Feijoa.jpg
68;2;F;Fresquilla;https://i.ibb.co/HxF6Tzt/Fresquilla.jpg
69;3;F;Foca;https://i.ibb.co/KwrM4R2/Foca.jpg
70;3;F;Flamenco;https://i.ibb.co/TBkXHh2/Flamenco.jpg
71;3;F;Fragata;https://i.ibb.co/VmZxNth/Fragata.jpg
72;3;F;Faetòn;https://i.ibb.co/8YpR0hD/faet-n.jpg
73;1;G;Gris;#989898
74;1;G;Gamboge;#D19F11
75;1;G;Guinda;#952F57
76;1;G;Grafito;#1C1C1C
77;2;G;Gayuba;https://i.ibb.co/rkwfw6W/Gayuba.jpg
78;2;G;Granada;https://i.ibb.co/b7Wppzf/Granada.jpg
79;2;G;Grosella;https://i.ibb.co/fQ2w78L/Grosella.jpg
80;2;G;Granadilla;https://i.ibb.co/HFSG2Lv/Granadilla.jpg
81;3;G;Golondrina;https://i.ibb.co/tM29xmL/Golondrina.jpg
82;3;G;Gorila;https://i.ibb.co/wRyKBdw/Gorila.jpg
83;3;G;Guacamayo;https://i.ibb.co/RYKdT3n/Guacamayo.jpg
84;3;G;Gallina;https://i.ibb.co/tzghtBg/Gallina.jpg
85;1;H;Humo;#84939C
86;1;H;Hueso;#E3DAC9
87;1;H;Helecho;#3D642D
88;1;H;Honolulù;#006DB0
89;2;H;Habanero;https://i.ibb.co/7WGJJNZ/Habanero.jpg
90;2;H;Higo;https://i.ibb.co/Z2b8Dbf/Higo.jpg
91;2;H;Huarango;https://i.ibb.co/3s2KPRk/Huarango.jpg
92;2;H;Huesillo;https://i.ibb.co/ZSyVcF9/Huesillo.jpg
93;3;H;Halcòn;https://i.ibb.co/NZNhRns/Halcon.jpg
94;3;H;Hipopòtamo;https://i.ibb.co/3yhBcGc/Hipopotamo.jpg
